#,Movie Name,Year of Release,Watch Time,Movie Rating,Description(synopsis),genre,showmax_url
983,Kila Mtu Chini,2021,1h 3m,,"Stuck in a bank under siege, a struggling reporter and frustrated bank manager form an interesting bond. Not everything is what it seems.",Thriller,https://www.showmax.com/za/stream/movies/kila-mtu-chini/bc4faefe-9ed8-3403-b7b7-29e277462c7d
984,Kill Chain: The Cyber War On America's Election,2020,1h 27m,7.4,A jaw-dropping documentary that extensively explores the vulnerabilities of electronic voting in the US. 2020,Political,https://www.showmax.com/za/stream/movies/kill-chain-the-cyber-war-on-americas-election/a7a99b5a-ce87-3439-96b7-fb862c46863c
985,Kill Joy,13,51m,9.4,"In a case of good versus evil, a troubled taxi driver finds himself walking on the dark side due to financial constraints and pressures to make ends meet at home.",Drama,https://www.showmax.com/za/stream/movies/kill-joy/ab03573c-edcf-3b00-b499-aadaf3a70936
986,Killbird,16,1h 24m,4.9,A suspenseful thriller. A young woman finds herself at the mercy of a paranoid conspiracy theorist when her car breaks down in backcountry Oregon.,Action,https://www.showmax.com/za/stream/movies/killbird/2a6723d1-a0aa-3f23-bae9-cc45a7ef5cc6
987,Killer Condo,2022,1h 26m,5.4,"A thrilling drama. Following the death of her husband, Michelle and her daughter move into a condo for a fresh start. They discover that their fresh start has become a nightmare.",Thriller,https://www.showmax.com/za/stream/movies/killer-condo/07d7d020-4e85-3a2f-89ff-853befda3458
988,Killer Profile,2021,1h 28m,5.3,A high school senior becomes determined to uncover her new classmate's true identity as strange events take place at their school.,Thriller,https://www.showmax.com/za/stream/movies/killer-profile/58e7c8e7-5d0e-39b5-9b8a-19950ba93ed6
989,Killing Field,2021,1h 36m,7.5,Chad Michael Murray and Bruce Willis star in this action thriller. A grieving battle veteran's life is disrupted when a cop and a drug cartel arrive on his property.,Action,https://www.showmax.com/za/stream/movies/killing-field/b83024f2-cc31-3b3f-9fe8-3a9aeb04147b
990,Kindergarten Cop,1990,1h 46m,6.2,Arnold Schwarzenegger takes on a softer role in this crime comedy. A cop has his hands full when he goes undercover as a kindergarten teacher.,Action,https://www.showmax.com/za/stream/movies/kindergarten-cop/8fcc67f6-c6ae-3b73-9c6f-376624e73767
991,King In The Wilderness,2018,1h 46m,8.0,"This insightful documentary looks at the final years of Martin Luther King, Jr. and how he battled to balance both the Black Power movement and the government. 2018",Documentary,https://www.showmax.com/za/stream/movies/king-in-the-wilderness/84dbde16-0532-3982-8093-ef73772789ce
992,King Kong,2005,2h 59m,7.2,"In this colossal action drama from director Peter Jackson, a film crew heads to a remote island to shoot a movie but encounter a legendary beast that could spell their end. 2005",Action,https://www.showmax.com/za/stream/movies/king-kong/ec344db4-1503-3320-990d-151a03c378f5
993,King Of Solomon,2022,2h 59m,,What could be more treacherous than a woman making a king and his son fall in love with her? This could burn the entire kingdom to the ground.,Drama,https://www.showmax.com/za/stream/movies/king-of-solomon/39639a9d-c5ca-3fee-a6f9-8495e6694291
994,King's Successor,2023,2h 59m,,"After Igwe Ogboagu dies, his son the prince of the kingdom refuse to take his place as the king. This however spark interest in the heart of many to take the throne.",Drama,https://www.showmax.com/za/stream/movies/kings-successor/ea931269-dff0-37c3-8d78-f637f97f3758
995,King'S Trouble,2023,2h 54m,,"Omimi is infected with an heart disease that makes him loose consciousness frequently, but the villagers thinks he is possessed.",Drama,https://www.showmax.com/za/stream/movies/kings-trouble/826a7551-8112-3167-9a78-ebabc1d4c054
996,Kingdom On Fire,2022,1h 55m,8.2,"A kingdom where the prince killed his father, the king, just to take the throne from his brother. This will set the kingdom on fire.",Drama,https://www.showmax.com/za/stream/movies/kingdom-on-fire/1733e19d-942c-3661-849f-6b00e8d1cf9f
997,"Kingdoms Of Fire, Ice & Fairytales",2020,50m,,Explore three of Earth&apos;s epic wilderness in this film by the creators of the multi-award-winning wildlife documentary &quote;Stroop: Journey into the Rhino Horn War.&quote;,Documentary,https://www.showmax.com/za/stream/movies/kingdoms-of-fire-ice-and-fairytales/0d31f5dd-28e2-31a0-8521-02b58912db7d
998,Kings Of Mulberry Street,2019,1h 26m,5.4,"What if the only way two young Kwazulu Natal boys, can defeat the bullying local crime lord who's threatening their families, is through their belief that one can be a Bollywood hero.",Comedy,https://www.showmax.com/za/stream/movies/kings-of-mulberry-street/8d07fa51-95bd-345a-a17e-7eaebf224f29
999,Kini Kase,2023,2h 29m,,"A family that prays together, stays together. Troubles brews in Taiwo and Kehinde's homes that almost took their lives. After counseling, are the families able to unite again?",Drama,https://www.showmax.com/za/stream/movies/kini-kase/512fd1be-6ecf-3092-b758-8f01d92eb0f8
1000,Kitovu Cha Kifo,2022,1h 33m,,"Two brothers get into conflict about inheritance after their father's death. They disagree on what to do, but things get worse when one brother decides to sell the wealth.",Drama,https://www.showmax.com/za/stream/movies/kitovu-cha-kifo/6bc23b10-9790-3a4b-89c4-e3fdc94fa701
1001,Klein Karoo,13,1h 34m,6.3,"In this romantic drama a young teacher is determined to protect local children from the effects of alcoholism. She gets support for the cause, from a broken-hearted filmmaker.",Comedy,https://www.showmax.com/za/stream/movies/klein-karoo/bc656523-7050-3024-92fe-076bc22a0899
1002,Klein Karoo 2,2021,1h 37m,5.5,"Frans, a thirty-eight-year-old documentary director, is forced to take a step back and reevaluate his life after he was unexpectedly left in front of the altar for the second time.",Romance,https://www.showmax.com/za/stream/movies/klein-karoo-2/38b194c5-280e-3a44-8a81-73ff8b90136a
1003,Knock Knock,2023,1h 32m,4.9,"Elias has a plan of stealing from his company, but he can only do this successfully with the help of Malik. However, Malik's greed takes over him.",Drama,https://www.showmax.com/za/stream/movies/knock-knock/6bc7fae7-dd4b-3e67-bfef-52c42bb77fa3
1004,Knocked Up,2007,2h 3m,6.9,"Fun-loving comedy starring Katherine Heigl and Seth Rogen. After a wild night of partying, a career woman discovers that she's pregnant, with hilariously truthful consequences. 2007",Comedy,https://www.showmax.com/za/stream/movies/knocked-up/55831e23-429e-33ac-87e4-1f9cd764f47d
1005,Knox Goes Away,2023,1h 54m,7.0,Michael Keaton stars and directs this thriller about redemption. A contract killer with dementia is offered a chance to redeem himself by saving the life of his estranged son.,Thriller,https://www.showmax.com/za/stream/movies/knox-goes-away/1f62cb21-6214-3530-a5fd-a2f44ae696eb
1006,Knysna,2014,1h 39m,6.0,"Class and love collide in this South African film about a love triangle. A man content with his small town life falls for a beautiful stranger, but she is running from her fiancée.",Comedy,https://www.showmax.com/za/stream/movies/knysna/f51a762b-4630-3736-85d9-ef87e7b328ea
1007,Koffie & Sigarette,2021,50m,,An estranged father and son meet each other in a coffee shop while a crime takes place across the street.,Drama,https://www.showmax.com/za/stream/movies/koffie-and-sigarette/42b3ec8d-93da-3505-822d-3081b575913e
1008,Koku,2021,57m,,"After being cast away by her family as a child, a woman struggles to search for her true origins after discovering that she is from royal heritage and wields special powers.",Drama,https://www.showmax.com/za/stream/movies/koku/38795a7b-05bb-316a-beb5-4f0bf926e282
1009,Koors,2023,10m,7.6,"The first day for something new creates the opportunity for success or failure. For Simoné it appears to be untimely, unplanned and unwanted.",Drama,https://www.showmax.com/za/stream/movies/koors/f426217c-ded3-312e-b45a-4eb6d5b2774b
1010,Koran By Heart,2011,1h 19m,7.3,Every year people from 70 countries across the Islamic world compete in the most prestigious Koran reciting contest. This is the story of three children who have dedicated their lives to memorising the 600 pages of the Koran.,Documentary,https://www.showmax.com/za/stream/movies/koran-by-heart/d6946a6e-137f-384f-920a-5fa639ade6a5
1011,Koranjogbon,2023,2h 42m,,"In his quest for marital bliss,, a man's journey leads him to an older friend who is grappling with her own battles, stemming from her gift of clairvoyance.",Drama,https://www.showmax.com/za/stream/movies/koranjogbon/13d67141-2ac6-3b17-a329-31e975e44faa
1012,Krotoa,2018,1h 57m,6.4,Race and family are explored in this powerful and poignant South African film based on the true story of a girl who was removed from her Khoi tribe to serve Jan van Riebeeck.,Drama,https://www.showmax.com/za/stream/movies/krotoa/8b98470f-5c05-3113-b4c0-95318cbbf76f
1013,Kung Fu Panda,2008,1h 28m,7.6,"Jack Black enters the mystic world of martial arts in this animated adventure. An obese, mild-mannered panda is thrown into the middle of a battle for the fate of China. 2008",Comedy,https://www.showmax.com/za/stream/movies/kung-fu-panda/392c5acb-6932-3b6c-a583-0f0f29740299
1014,Kung Fu Panda 2,2011,1h 26m,7.3,"When the murderous Lord Shen threatens China with a terrifying new weapon, Po must face a truth he never expected and defeat Shen for the good of Kung Fu.",Adventure,https://www.showmax.com/za/stream/movies/kung-fu-panda-2/a02f6cca-256b-38de-a065-7fba1a1d51e0
1015,Kung Fu Panda 3,2016,1h 30m,7.1,"Jack Black and the gang return for a third adventure-filled film. Po has finally found his father and his family, but a hidden threat looms over the reunion.",Family,https://www.showmax.com/za/stream/movies/kung-fu-panda-3/ccec4700-50f0-35d8-a4c8-80d7fb95fbe0
1016,Kung Fu Panda 4,2024,1h 29m,6.3,Po is chosen to become the spiritual leader of the Valley of Peace in the fourth instalment. He must train a new Dragon Warrior while a wicked sorceress plans to re-summon master villains.,Action,https://www.showmax.com/za/stream/movies/kung-fu-panda-4/a08062eb-78e4-3576-8f6b-9ff6d0252a1d
1017,Land Of Bad,2024,1h 53m,6.6,"Luke and Liam Hemsworth, and Russell Crowe drive this action movie. A US Army special forces unit is ambushed during a mission- their only hope - a remote Air Force drone operator. 2024",Thriller,https://www.showmax.com/za/stream/movies/land-of-bad/5958bd29-2a31-3ae4-a638-e3c6d31c3069
1018,Laroy,2023,1h 52m,6.5,A riveting thriller riddled with dark humour. Ray learns his wife is having an affair and plans to kill himself. But his plans change when he's mistaken for a low-rent hitman.,Crime,https://www.showmax.com/za/stream/movies/laroy/26ce34bf-9c73-3d94-8e3e-f23d7fb8576d
1019,Last Blue Ride,2022,51m,,"Through never-before-seen footage and intimate interviews, this documentary looks at the brutal attack on two Stellenbosch students, Hannah Cornelius and Cheslin Marsh, at the hands of members of the Numbers gang in 2017.",Documentary,https://www.showmax.com/za/stream/movies/last-blue-ride/f4871f75-de88-3e28-a797-dda20ac532e3
1020,Last Christmas,2019,1h 38m,6.5,"A woman, who is down and out and works as an elf in a year-round Christmas store, meets a man who seems too good to be true. 2019.",Romance,https://www.showmax.com/za/stream/movies/last-christmas/fac77a8e-ffb6-3321-b4e3-4e939fc91f2a
1021,"Last Cruise, The",2021,38m,,This documentary tells the story of the first major outbreak of the novel coronavirus pandemic on the Diamond Princess cruise liner using footage shot by passengers and staff. 2021,Documentary,https://www.showmax.com/za/stream/movies/the-last-cruise/82562395-631d-3091-977e-0af8ae8017bf
1022,Last Looks,2021,1h 50m,5.8,Mel Gibson stars in this book-inspired crime mystery. A disgraced ex-cop comes out of retirement to investigate a murder in which an actor is accused of killing his wife.,Action,https://www.showmax.com/za/stream/movies/last-looks/22c277fb-f800-32e4-bc31-45be456de26e
1023,Last Man Down,2021,1h 27m,3.5,"A film with an old-school action feel. After civilization succumbs to a deadly pandemic and his wife is murdered, a special forces soldier flees to the wilderness. 2021",Action,https://www.showmax.com/za/stream/movies/last-man-down/9d669ee8-3b67-3b1a-9dd3-57e4c82902bb
1024,"Last Marriage, The",2022,2h 57m,,A man of Umuezi kingdom kills a fellow man because he married the women he wanted to marry. He swears that his daughters will suffer for the sins of their father.,Drama,https://www.showmax.com/za/stream/movies/last-marriage-the/954be9b6-50eb-3bd2-ae5f-752288540cda
1025,Last One Laughing,2023,1h 58m,3.6,"Falling on hard times when the husband loses his job, a couple's situation worsens as the wife's insensitive attitude drives her back to her ex, complicating matters.",Drama,https://www.showmax.com/za/stream/movies/last-one-laughing/a1e940a7-07db-3c5d-ba40-ee5da5b36d6b
1026,Last Revelation,2023,2h 59m,,Aniocha and Anioma long fight on a piece of land is about to tear Anioma apart as the king will do anything to grab the land from the rightful owners.,Drama,https://www.showmax.com/za/stream/movies/last-revelation/394dcd94-6319-340d-ab16-53666459aa9b
1027,Last Seen Alive,2022,1h 34m,5.7,"Gerard Butler shows there are no limitations when trying to find the truth. After a man's estranged wife disappears, he takes the law into his own hands while evading the authorities.",Action,https://www.showmax.com/za/stream/movies/last-seen-alive/5c4318cb-348f-37d3-85db-c0907423ca6e
1028,Late Night,2019,1h 37m,6.5,"In this dramedy, Emma Thompson and Mindy Kaling explore workplace diversity. The host of a famous talk show, with falling ratings, hires her first and only female staff writer. 2019",Comedy,https://www.showmax.com/za/stream/movies/late-night/a516f987-266b-3dfb-a466-b98bfebdfcf7
1029,Lauretta,2021,1h 28m,6.6,"After Gina gives birth to Lauretta, she handed her to her elder sister so she can take care of her. The happy story ends when she get pregnant for her own child.",Drama,https://www.showmax.com/za/stream/movies/lauretta/af620ace-1371-3f14-a0fc-f841b9950a96
1030,Leading Lady,2014,1h 36m,5.7,Worlds collide in this South African romcom about a British drama teacher who persuades a small-town farmer to help her prepare for a movie role.,Comedy,https://www.showmax.com/za/stream/movies/leading-lady/3b650fba-fffe-3a40-8afd-1d69cec252aa
1031,Leah'S Offer,2022,1h 43m,,"Leah is a single mother whose life is wreaked by circumstances beyond her control, her daughter made it worse when she breaks a costly vase in a rich home.",Drama,https://www.showmax.com/za/stream/movies/leahs-offer/f2364cba-36aa-3ba3-9a23-28d1b724e4e6
1032,Leemtes En Leegheid,2021,26m,,"Magdaleen, a recluse in her late 70's, struggles to live without her deceased husband, Hendrik. Lionel her neighbour intrigues her.",Drama,https://www.showmax.com/za/stream/movies/leemtes-en-leegheid/187935fc-0b5d-3656-9a29-7c97a2584a8f
1033,Leg Over,2023,1h 23m,,"In her quest for happiness, a conflicted wife juggles a secretive husband and an old flame's ambitious scheme, risking her own desires and loyalties.",Thriller,https://www.showmax.com/za/stream/movies/leg-over/5b617420-2c6f-3db8-b92d-2f38dd71058b
1034,Leg Work,2022,1h 59m,8.1,"Sherifa, a 19-year-old energetic and enthusiastic young lady who sells on the streets of Accra, goes through thick and thin to learn the act of dancing. 2022",Drama,https://www.showmax.com/za/stream/movies/leg-work/5c9f7c80-635e-3e29-bb80-0ca763af5b03
1035,Legacy,2022,1h 47m,8.1,Tolani Jacobs has always fought for the acceptance of her family.,Drama,https://www.showmax.com/za/stream/movies/legacy/66993a54-04d2-3ade-b436-4bb360ce659a
1036,Legend Of La Llorona,2022,1h 38m,,"A terrifying story about a holiday horror. A couple vacationing in Mexico fights to save their son from La Llorona, the evil spirit blamed for numerous missing children.",Horror,https://www.showmax.com/za/stream/movies/legend-of-la-llorona/deceae8e-e5fe-3e89-8903-418d03deca2a
1037,"Legion, The",2021,2h 13m,,"The death of Erica gives birth to the Legion, she terrorize her killer till she becomes the governor. Now she has refused to pay the price of taking the life of her lover.",Drama,https://www.showmax.com/za/stream/movies/legion-the/46abf18b-ecac-34bb-bf1a-c73b4f0298c6
1038,Lena And Snowball,2021,1h 30m,5.4,A charming coming-of-age movie that revolves around a friendship between a teenage girl and a white lion. Lena discovers a white lion cub and has to protect it from poachers. 2021,Comedy,https://www.showmax.com/za/stream/movies/lena-and-snowball/f694e215-2c37-3286-8609-0da0a4141d00
1039,Lesson,2023,1h 59m,,"A lady always finds herself in the wrong side of love and vows never to fall in love again, but meets a young CEO who appears different.",Drama,https://www.showmax.com/za/stream/movies/lesson/b5f23a50-e697-345f-bf51-edfac55cf45e
1040,Let Us Make Eve,2023,1h 26m,,"A chilling thriller. Friends, bound together by a murder they committed as teens, journey to celebrate their friendship in Belize, but they don't know their lives are in danger.",Thriller,https://www.showmax.com/za/stream/movies/let-us-make-eve/f8520b49-cbc4-3ffc-839e-a7c778b838e0
1041,"Liar, Liar",1997,1h 22m,6.9,"Golden Globe winner Jim Carrey learns hard lessons in this comedy. After being lied to by his lawyer father, a boy makes a wish for him to stop lying, it's a wish that comes true. 1997",Comedy,https://www.showmax.com/za/stream/movies/liar-liar/d2b5c9c8-33fb-386f-b462-1b4ffc84071d
1042,Lien Se Lankstaanskoene,13,1h 34m,6.8,"A high school girl's life falls apart when her father is arrested for fraud and her mother develops a drinking problem. The once upstanding, affluent family is now a broken mess. Lien must find a way to keep the family afloat.",Drama,https://www.showmax.com/za/stream/movies/lien-se-lankstaanskoene/7dd40215-f8b6-3507-bbd6-ccedea0fc703
1043,Lies Of Love,2022,2h 59m,6.2,"Desmond was rejected by Peace because of the lies Ifedi tells her, now her life hangs in the balance as she fights for the love she gave everything for.",Drama,https://www.showmax.com/za/stream/movies/lies-of-love/59550d1f-e4cc-34f9-a26d-f3cd664e3926
1044,Liewe Dudu,2024,18m,,"It's inspection day at Sparadys beauty spa, and beauty therapist Dudu discovers that an unresponsive client is dead. A Silwerskermfees 2024 short film.",Comedy,https://www.showmax.com/za/stream/movies/liewe-dudu/ade354c3-d0f4-3f4b-acf6-2619111595dc
1045,Liewe Kersfeesvader,2017,1h 48m,7.3,"The meaning of family's redefined in this South African dramedy when a teenage beauty queen must cope with an eccentric father, an impressionable brother and a new romance.",Drama,https://www.showmax.com/za/stream/movies/liewe-kersfeesvader/9d3a165b-b49a-352a-894c-a542f9ab8359
1046,Life Happened,2022,1h 47m,,"After a breakup, a conservative girl falls for a possessive guy that made her break all her rules.",Drama,https://www.showmax.com/za/stream/movies/life-happened/ad18a11f-cc1c-33b1-9709-0bbf108c6177
1047,Life Without Principle,2011,1h 42m,6.9,"This gripping crime drama brings audiences into the greedy world of a bank teller, a small-time thug and a police inspector.",Crime,https://www.showmax.com/za/stream/movies/life-without-principle/2ef2dde8-002b-3774-adc8-aed063e255b1
1048,Light,2022,2h 0m,2.7,"A rejected king feared by all is accused of making his mother blind. Light refuses to let his background pull him down, now light shines on him.",Drama,https://www.showmax.com/za/stream/movies/light/fa76d26d-fd22-3b84-93f7-ce8e773fa765
1049,Liminale,2024,17m,,"Mia, a depressed woman in a futuristic facility, is haunted by disturbing memories. She undergoes groundbreaking Virtual Reality therapy to process her trauma. As she navigates the surreal liminal space, she's forced to face her demons.",Drama,https://www.showmax.com/za/stream/movies/liminale/c492316c-5c90-3a20-9265-2ae78b97f850
1050,Lindelwa,2023,52m,,"Lindelwa, a free spirit living her best young life, is forced to confront herself and her fears after a one-night stand with an old friend turns into an impromptu journey to motherhood.",Drama,https://www.showmax.com/za/stream/movies/lindelwa/d5eb4c9d-c3d0-3efd-a289-7170931fc7b9
1051,Lindsey Vonn: The Final Season,2019,1h 24m,7.1,"Universally recognized as the greatest female skier ever, Lindsey Vonn attempts to break the record set by Sweden's Ingemar Stenmark for most World Cup wins. Vonn also shares her best and worst moments, on and off the slopes.",Documentary,https://www.showmax.com/za/stream/movies/lindsey-vonn-the-final-season/9d7b1f8f-a8a4-3461-9e6b-873247d896ed
1052,Linus And Family,2022,2h 59m,,"A man sends his wife packing when he can't make ends meet. When his financial situation changes, he decides to get his family back.",Drama,https://www.showmax.com/za/stream/movies/linus-and-family/5ad876ee-53cd-3cc0-9d02-1d58d7d9ab4d
1053,Little,2019,1h 44m,,Regina Hall learns hard lessons in this comedy. A mean tech mogul gets what's coming to her when she is cursed and turned into her 13-year-old self on the eve of her biggest deal.,Comedy,https://www.showmax.com/za/stream/movies/little/7c09a37a-9f8a-3720-8ee5-c33d785770e6
1054,Little,2022,1h 39m,,"Two sisters raised as great academics by their middle-class father find themselves in the best school in town. However, they soon lose their focus due to peer pressure..",Drama,https://www.showmax.com/za/stream/movies/little/7c09a37a-9f8a-3720-8ee5-c33d785770e6
1055,Little Dixie,2023,1h 40m,4.9,"A gritty action thriller about a man who brokers a truce between a US governor and a cartel. But when the truce collapses, he does whatever it takes to protect his daughter. 2023",Action,https://www.showmax.com/za/stream/movies/little-dixie/bf4972e3-5f40-341a-a877-0f95b0a1b844
1056,Little Women,2019,2h 9m,7.8,A starry female-led cast consisting of Saoirse Ronan and Emma Watson drives this book inspired romantic drama which reflects on the March sisters' transition to womanhood. 2019,Comedy,https://www.showmax.com/za/stream/movies/little-women/8ccdfccd-7900-3c01-9465-c81d269f1be9
1057,Living Next To Danger,2023,1h 28m,,A captivating mystery thriller. Suspicion falls on a woman's new neighbours when her teenage daughter goes missing.,Drama,https://www.showmax.com/za/stream/movies/living-next-to-danger/f9c103f4-3632-31d0-b7d1-db941038fe25
1058,Loafers,2021,2h 46m,,"After a group of loafers mess up a community with their flaws and character, they have to face the law or a greater power that will humble them.",Drama,https://www.showmax.com/za/stream/movies/loafers/09266c2a-ff43-3d01-b726-056cfb86b50c
1059,Local King,2023,2h 59m,,"A queen is determined to ensure her son ascends the throne after her husband's death. However, the story takes an unexpected turn when her son's fate diverges from the crown.",Drama,https://www.showmax.com/za/stream/movies/local-king/01e7b359-006b-3a2e-9e64-addd18aebf7f
1060,Local Love,2022,2h 56m,,"A young man gives up everything in life for this one true love, including his mother's life. But is it really worth it?",Drama,https://www.showmax.com/za/stream/movies/local-love/44b595a0-b852-34a2-b402-553aa5f93ebb
1061,LOCKED IN,2021,1h 29m,5.1,There is no one deadlier than a mother defending her young. This crime thriller follows a single mother protecting her daughter as they are caught in a heist at a storage facility. 2021,Drama,https://www.showmax.com/za/stream/movies/locked-in/f684ca04-f265-3227-a7be-15a0eb640414
1062,London Captain,2022,2h 56m,,"A lady comes back to the village and promise she is going to take some people back with her to London, little did the entire village know that they are all being tricked.",Drama,https://www.showmax.com/za/stream/movies/london-captain/4b6af49d-c12a-36ee-ad1c-f89ff0e5501c
1063,LONELIEST BOY IN THE WORLD,2022,1h 30m,5.0,A gory horror comedy. A lonesome boy is given a week to make a friend or face being sent to an asylum. 2022,Comedy,https://www.showmax.com/za/stream/movies/loneliest-boy-in-the-world/703990d9-cba6-319d-98c7-c58a5adc840a
1064,Losing Lerato,13,1h 32m,7.2,"A gripping South African drama. A successful father who loses everything takes matters into his own hands to get back the one he loves most, his daughter.",Drama,https://www.showmax.com/za/stream/movies/losing-lerato/d4bbd242-f712-3e67-8d9c-0962369f5446
1065,Lost Blood,2021,2h 14m,,"A lady abandoned in the village with a son, she finds a man who loves her and her son and he wants to fight for her.",Drama,https://www.showmax.com/za/stream/movies/lost-blood/af6d0fe6-0e98-3de3-aa9d-654e980b6391
1066,Lost Soul,2024,2h 59m,5.0,"Chuma and his friends beat up their master Agumba and gets help from Obi who they later frustrate. In Chima's old age, the pain still lingers and he wished he could change time.",Drama,https://www.showmax.com/za/stream/movies/lost-soul/ab43649a-b86c-3533-875d-2e9420197d8a
1067,Love And Culture,2023,2h 59m,,"Ozor is a traditional man who will mix tradition with everything he touches, but married to a woman who has no love for culture. Will this marriage succeed?",Drama,https://www.showmax.com/za/stream/movies/love-and-culture/d3fa68a8-7009-33b6-b850-e4c12797100c
1068,Love And Friendship,2023,2h 2m,,"Nonye escapes an abusive marriage with her daughter, staying with childhood friend Somkele. Tension rises when she falls for Somkele's love interest.",Drama,https://www.showmax.com/za/stream/movies/love-and-friendship/9db05a02-5759-3770-9b2f-c24cfbcf0c0d
1069,Love And Justice,2022,2h 0m,,"A young boy who witnessed the assassination of his mother at his young age, is determined to seek justice without minding whose ox is goad.",Thriller,https://www.showmax.com/za/stream/movies/love-and-justice/06c1bdda-6de9-3402-8752-ae6de6b01137
