#,Movie Name,Year of Release,Watch Time,Movie Rating,Description(synopsis),genre,showmax_url
965,Kandahar,2023,1h 59m,6.1,Gerard Butler fights against the odds in this war movie. A CIA operative and his translator flee from special forces in Afghanistan after exposing a covert mission. 2023,Action,https://www.showmax.com/za/stream/movies/kandahar/a23c97da-ae19-31c8-a47d-8f1c31da4672
966,Kande Ka Mphala,2022,1h 31m,,"A young man obsessed with social media takes on a life-changing challenge from a mysterious older man, requiring him to venture into a forest where no man had ever come alive.",Drama,https://www.showmax.com/za/stream/movies/kande-ka-mphala/edc640b9-0f4e-3c74-92e2-95b7626fe46f
967,Karen,2023,21m,3.2,"When her allergic reaction causes a misunderstanding, Susan unintentionally drives away with a handbag full of a coffee shop's cash.",Comedy,https://www.showmax.com/za/stream/movies/karen/64346c13-c9de-306f-bc61-d4de44e901d7
968,Karma,2022,1h 29m,8.5,"CLAIRE, a 12-year-old girl tragically becomes an orphan after witnessing the gruesome murder of her parents by armed bandits.",Drama,https://www.showmax.com/za/stream/movies/karma/a03a1bfe-fcad-3d28-ab02-6424cd137162
969,Kasi Mean Girls,16,51m,,This movie tackles cyber bullying in South Africa. A group of high school girls face the social humiliation of cyber bullying. They have to find ways to combat it.,Drama,https://www.showmax.com/za/stream/movies/kasi-mean-girls/9c4eefaa-fbde-3333-91f0-75f467b0e023
970,Kasozi Heights,2022,1h 20m,,"A struggling accountant is given a big promotion, uprooting his family from their humble house to a luxury residence in Kasozi Heights. But a mystery begins to unravel.",Drama,https://www.showmax.com/za/stream/movies/kasozi-heights/1ef8e90e-6204-311f-a557-9b2749b5e674
971,Katak: The Brave Beluga,2023,1h 19m,6.0,A fun kids' animation that shows you do not have to be big to be brave. A young beluga whale embarks on a perilous journey to fulfil his ailing grandmother's last wish.,Adventure,https://www.showmax.com/za/stream/movies/katak-the-brave-beluga/e37ec27a-b0ee-3ef4-9162-a49da9540319
972,Katy Perry The Movie: Part Of Me,2012,1h 29m,6.0,Get an intimate look at the life of pop sensation Katy Perry through her video diary. Follow her journey from a fledgling artist to a mega pop star and all the heartbreak and success that comes with it.,Documentary,https://www.showmax.com/za/stream/movies/katy-perry-the-movie-part-of-me/c949d4bf-7fe1-3950-91d1-468f9a4586bf
973,Kauna's Er,2023,53m,,"Dr Kauna opens Kauna's ER to bring quality emergency medical services to the Katutura community. Soon, teenage botched abortions become widespread and she vows to find the source, but at what cost? 2023",Drama,https://www.showmax.com/za/stream/movies/kaunas-er/af4aa20a-be1c-3613-add1-3afc732fcdfc
974,Kaz,13,1h 14m,7.6,"In order to save the life of her sister, a YouTube v-logger, Kaz must uncover the identity of a cyber stalker  as he exposes her secrets to her growing online community.",Mystery,https://www.showmax.com/za/stream/movies/kaz/02441828-f580-3432-a5f6-e424d018402d
975,Keeping Her,2023,1h 42m,,"After a girl has an accident near a barren couple's home, she loses her memory. The desperate woman persuades her husband to keep the child, unaware of a larger conspiracy.",Drama,https://www.showmax.com/za/stream/movies/keeping-her/31ecf9cf-1063-37cf-8502-fe7593407f98
976,Keeping My Home,2022,1h 33m,,A man treats his wife like his slave so much that their only daughter does not respect her mother.,Drama,https://www.showmax.com/za/stream/movies/keeping-my-home/44176e5a-ec20-36a5-a7ef-0853a0078236
977,Keji,2022,1h 24m,,"On her twelfth birthday, a young girl is gifted a mobile phone which  comes with the knowledge of her real identity.",Action,https://www.showmax.com/za/stream/movies/keji/4cb4a897-fd9f-3c56-ade8-bc035ec054df
978,Ken Jy My Nou,2021,54m,,"A second-rate television series producer hits a homeless man with her car. To avoid any consequences, she takes him under her wing and offers him a small part in her show.",Drama,https://www.showmax.com/za/stream/movies/ken-jy-my-nou/04f888d2-136d-31d2-bab9-47f7b188175d
979,Khumba,2013,1h 21m,5.6,A proudly South African animation with the voice talents of Liam Neeson and Laurence Fishburne. A half-striped zebra embarks on an inspirational journey of self-discovery. 2013,Adventure,https://www.showmax.com/za/stream/movies/khumba/eb0d9565-5af7-3699-8633-b0ff14063916
980,Kiberan Shakespeare,2014,1h 2m,,Timmy earns  a role in the Romeo and Juliet play.  But rules will have to bend when it is learn that he was representing a school he doesn't belong to .,Family,https://www.showmax.com/za/stream/movies/kiberan-shakespeare/85f77558-6da2-3854-a6f1-d99f580ac459
981,Kidawa,2022,1h 40m,,A progressive and ambitious woman researching on natural and organic cosmetics is mocked by her family and friends who find her ideas foolish for a globalised world.,Drama,https://www.showmax.com/za/stream/movies/kidawa/4075312d-44c8-373f-b056-1db3c1817c7f
982,Kidnapped,2024,1h 15m,6.4,"A young man fakes his kidnap to scheme his family for a hefty ransom, this goes out of control, and he pray his family must meet the deadline to raise the ransom demanded.",Drama,https://www.showmax.com/za/stream/movies/kidnapped/116aeb2f-95cd-3fe7-bba4-1668115c22ba
