#,Movie Name,Year of Release,Watch Time,Movie Rating,Description(synopsis),genre,showmax_url
305,Breathless Moment,2022,2h 13m,,"It feels like cupid is matchmaking Lola and Eric with all the serendipity surrounding their meeting, until a simple mistake Lola made in the past, cost her dearly.",Drama,https://www.showmax.com/za/stream/movies/breathless-moment/6c91bb67-8487-3378-84ec-0790259b19f0
306,Brian Banks,2018,1h 35m,7.2,"A football player's dreams of playing in the NFL are halted when he is wrongly convicted and sent to prison. Years later, he fights to clear his name within an unjust system.",Drama,https://www.showmax.com/za/stream/movies/brian-banks/136edf65-2b87-31f1-b10f-87fb594b24ae
307,Bride And Pride,2024,2h 18m,,"After Raymond and Kendra get married, everything goes sour, and Ray becomes broke. This trigger's another side of Kendra.",Drama,https://www.showmax.com/za/stream/movies/bride-and-pride/edb3f20b-9b79-3ae3-95c4-bb5ed7ff3731
308,Bride On Suspension,2022,1h 16m,,"REMI propose to WINIFRED. She accepts his proposal. However, when Remi finds out that Winifred already had a child in the past, he throws her out and calls off the wedding.",Drama,https://www.showmax.com/za/stream/movies/bride-on-suspension/133aed11-33a3-3fed-ab1d-88b4f1571d46
309,Bridesmaids,2011,1h 59m,6.8,"A wedding gets turned on its head in this outrageously funny comedy. A rivalry between a maid of honour and a bridesmaid for the bride's affection, leads to all sorts of chaos.",Comedy,https://www.showmax.com/za/stream/movies/bridesmaids/88b6ffb5-7ad7-3b80-935b-2124b9764e95
310,Bridget Jones's Baby,2016,1h 57m,6.4,"Oscar winner Renée Zellweger reprises her role as unlikely heroine Bridget Jones, who, in this sequel, finds herself pregnant and only fifty percent sure of who the father could be.",Comedy,https://www.showmax.com/za/stream/movies/bridget-joness-baby/3a74aa11-7190-3d50-95ae-f6c80788d3a9
311,Bridget Jones's Diary,2001,1h 33m,6.8,Based on Helen Fielding's bestselling book. A thirty-something single English woman (Renée Zellweger) decides to improve her life and chronicle her efforts in a diary.,Comedy,https://www.showmax.com/za/stream/movies/bridget-joness-diary/f95620fa-e88a-3838-9e54-e839e51d9483
312,Bridget Jones: The Edge Of Reason,2004,1h 43m,6.0,"This sequel to the sweet rom-com classic sees Bridget Jones finally in a stable relationship with Mark Darcy. But doubts brew when her ex-lover, Daniel Cleaver, returns.",Comedy,https://www.showmax.com/za/stream/movies/bridget-jones-the-edge-of-reason/3a4fb34c-7d1c-3296-8ee6-33e60a731995
313,Brightburn,2019,1h 26m,6.1,"A longstanding question is answered in this sci-fi horror. What if an alien crash-landed on Earth: but instead of becoming a superhero, he became a sinister unstoppable monster?",Horror,https://www.showmax.com/za/stream/movies/brightburn/38f5adc1-d246-3ca6-8c65-876558c1769e
314,Broken Secret,2023,2h 59m,,"Kenechukwu leaves his wife Ijeoma for ten years without looking back. She gets tempted and slept with her ex, Ugochukwu, the same week her husband surprises her and comes back.",Drama,https://www.showmax.com/za/stream/movies/broken-secret/0eeb716f-2029-3574-ac04-e03afee3fdcf
